Site,Name,Your Price,Savings
55033,TEULON,1.7766,0.5924
55034,THE PAS,1.8071,0.5819
55035,THOMPSON,1.8149,0.5841
55043,VIRDEN,1.797,0.592
55036,WINKLER,1.7846,0.5944
55037,WINNIPEG-DEACONS,1.739,0.56
55038,WINNIPEG-MARION ST,1.7437,0.5553
55012,BVD WINNIPEG,1.735,0.564
61031,GRAND FALLS,2.1787,0.1513
61032,MONCTON,2.1611,0.1689
61062,BVD MEDUCTIC,2.142,0.188
63003,DEER LAKE,2.1436,0.4064
63005,GOOBIES,2.0653,0.4847
63008,ST JOHNS,2.0498,0.5002
62022,BRIDGEWATER,2.0851,0.3849
62015,DARTMOUTH,2.0828,0.3872
62016,GLENHOLME,2.0802,0.3898
62017,LITTLE BRAS DOR,2.0841,0.3859
58868,LOWER WOODS,2.1034,0.4166
58867,WILMOT,2.0804,0.4396
58869,WINDSOR,2.1081,0.4119
58866,WOLFVILLE,2.0764,0.4436
58865,YARMOUTH,2.1308,0.3892
60001,ENTERPRISE,1.9982,0.4008
60002,YELLOWKNIFE,1.9647,0.4343
58117,BARRIE,1.9182,0.7008
58235,BOTHWELL,1.9306,0.6084
54228,BOWMANVILLE,1.9372,0.7018
36384,BRADFORD,1.9504,0.6886
58118,BRAMPTON- VAN KIRK,1.9228,0.5762
58122,BRAMPTON- INTERMODEL,1.945,0.554
58123,BURLINGTON,1.9425,0.6665
58301,BVD COCHRANE,1.9688,0.5902
58055,BVD BRAMPTON,1.9005,0.5985
58283,CHATHAM,1.9243,0.6047
58218,CLARKSON,1.9241,0.6849
58271,COLLINGWOOD,1.9517,0.6773
58213,VAUGHAN - CONCORD,1.9141,0.5949
58311,COOKSTOWN,1.9479,0.6811
58156,BVD COMBER,1.881,0.618
58037,BVD CORNWALL,1.96,0.639
58234,DORCHESTER,1.8845,0.6145
58125,DRYDEN,1.9775,0.4815
58863,DUNNVILLE,1.9556,0.6834
58211,TORONTO-NORTH QUEEN,1.9139,0.6851
58126,EXETER PETRO-PASS,1.9286,0.5904
58223,FERGUS,1.956,0.683
58227,FLAMBOROUGH,1.9459,0.6731
58127,FORT ERIE,1.9413,0.6577
58297,PETRO CA,1.9154,0.6436
58222,GUELPH,1.9425,0.5765
58253,HAGERSVILLE,1.9593,0.6797
58128,HAMILTON - KENORA,1.9151,0.7339
58131,HAMILTON-PARKDALE,1.9233,0.6857
58132,HORNBY,1.9186,0.6004
58133,HUNTSVILLE,1.9594,0.6796
58134,IGNACE,1.9752,0.5238
58135,KAMINISTIQUIA,1.932,0.497
58136,KENORA,2.0623,0.4567
58137,KINGSTON,1.9651,0.6139
58098,KITCHENER,1.93,0.579
58138,LISTOWEL,1.9264,0.6226
58104,LONDON WILTON GROVE,1.8889,0.6101
58141,LONDON-CLARKE RD,1.8889,0.6101
58142,MARKHAM,1.9164,0.7026
58143,MILTON,1.9504,0.5486
58145,MISSISSAUGA-ATLANTIC,1.9433,0.5557
58217,MISSISSAUGA-DIXIE RD,1.906,0.593
58146,MOUNT FOREST PETRO- PASS,1.9213,0.6277
58088,BVD MILTON,1.9068,0.5922
58062,BVD MISSISSAUGA,1.9005,0.5985
58198,OTTAWA-NEPEAN,1.9628,0.6462
58151,NEW LISKEARD,1.9877,0.6913
58232,NEWMARKET,1.9354,0.6936
58152,NIAGARA FALLS,1.9578,0.6412
58161,NORTH BAY,1.9783,0.6607
58207,TORONTO - STEELES AVE,1.9073,0.7017
58861,NORWICH,1.9289,0.6101
58073,BVD NIAGARA,1.9096,0.6894
58078,BVD NIPIGON,1.882,0.517
58011,BVD NORTH BAY,1.9329,0.7061
58191,ORANGEVILLE,1.9425,0.6865
58291,ORILLA,1.9696,0.6694
58246,ORONO,1.9549,0.6741
58196,OSHAWA,1.9425,0.6765
58197,OTTAWA-GLOUCESTER,1.9898,0.6192
58247,OWEN SOUND,1.96,0.699
58228,PETERBOROUGH,1.9395,0.6995
58248,PICKERING,1.9477,0.5513
58233,RED LAKE,2.1209,0.4781
58226,ROCKTON,1.9166,0.6324
58221,SARNIA,1.9331,0.5659
58862,WEST SIMCOE,1.9289,0.7201
58251,SIOUX LOOKOUT,2.0517,0.4873
58068,SAINT ISIDORE,2.0082,0.6408
58256,STAYNER,1.9517,0.6873
58003,STRATFORD,1.9003,0.6387
58113,SUDBURY,1.9809,0.6781
58204,SUDBURY-BARRYDOWNE,1.9798,0.6792
58116,SUMMERSTOWN,2.0095,0.5895
58057,BVD SARNIA,1.8775,0.6215
58237,BVD SAULT STE. MARIE,1.9599,0.5991
58252,THUNDER BAY,1.8939,0.5251
58206,TIMMINS,1.9925,0.6965
58231,REXDALE,1.9468,0.6622
58208,TORONTO-KEELE,1.9139,0.7051
58212,VAUGHAN,1.906,0.593
58255,WATERLOO,1.9481,0.5709
58254,WELLAND,1.9589,0.5701
58214,WINDSOR,1.9124,0.5866
58225,WINGHAM,1.9587,0.6803
58216,WOODSTOCK,1.9354,0.5836
59091,AMOS,2.2847,0.6643
59027,ANJOU,2.2451,0.6539
59028,BAIE COMEAU,2.2774,0.6716
59031,BOIS-FRANC,2.2452,0.7038
59032,CHAMBORD,2.2549,0.6741
59097,CHIBOUGAMAU,2.2835,0.7155
